Altium Designer Pick and Place Locations
C:\Users\su\Desktop\git\Cando\HW\CandoPro\Project Outputs for CandoPro\Pick Place for CandoPro_SET.txt

========================================================================================================================
File Design Information:

Date:       20/10/20
Time:       12:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment        Layer       Footprint        Center-X(mil) Center-Y(mil) Rotation Description                             
J2         WJ124-3.81-3P  TopLayer    WJ124-3.81-3P    1221.732      2155.748      270      "WJ124-3.81-3P C36780"                  
J3         Header_2.54_3P TopLayer    HEADER-2.54-3P   901.732       2165.748      360      "Header 2.54 3P"                        
J4         SWD            BottomLayer SWD-2.54-4P      901.732       3240.748      180      "SWD 2.54 4P"                           
R1         10K            TopLayer    RES_0603         1381.733      3656.811      270      "Res SMD 10K 5% 1/10W 0603"             
R2         10K            TopLayer    RES_0603         901.732       3656.811      270      "Res SMD 10K 5% 1/10W 0603"             
R3         10K            TopLayer    RES_0603         1081.732      3105.748      180      "Res SMD 10K 5% 1/10W 0603"             
R4         10R            TopLayer    RES_0603         1331.732      2345.748      360      "Res SMD 10R 5% 1/10W 0603"             
U1         RT9193-33GB    TopLayer    SOT23-5          1141.732      3660.748      180      "Chip RT9193-33GB LDO Regulator C15651" 
U3         STM32F072C8T6  TopLayer    STM-LQFP48_N     1141.732      3355.748      180      "Chip STM32F072C8T6 C80488"             
U4         PSM712-LF-T7   TopLayer    SOT-23(SOT-23-3) 1796.654      2395.748      90       TVS                                     
U2         ADM3053BRWZ    TopLayer    SOIC-20          1771.654      2725.748      270      "Chip ADM3053BRWZ"                      
R5         120R           TopLayer    RES_0603         1691.653      2395.748      90       "Res SMD 120R 5% 1/10W 0603"            
C11        10¦ÌF           TopLayer    CAP_0805         1581.654      2385.748      360      "Cap 10¦ÌF 25V X5R 0805"                 
C10        100nF          TopLayer    CAP_0603         1581.654      2455.748      360      "Cap 100nF 50V X5R 0603"                
C9         100nF          TopLayer    CAP_0603         1581.654      2995.748      360      "Cap 100nF 50V X5R 0603"                
C8         10¦ÌF           TopLayer    CAP_0805         1581.654      3065.748      360      "Cap 10¦ÌF 25V X5R 0805"                 
C7         10nF           TopLayer    CAP_0603         1721.654      2995.748      360      "Cap 10nF 50V X5R 0603"                 
C5         100nF          TopLayer    CAP_0603         1971.654      2405.748      360      "Cap 100nF 50V X5R 0603"                
C1         4.7¦ÌF          TopLayer    CAP_0603         1956.654      3648.937      270      "Cap 4.7¦ÌF 6.3V X5R 0603"               
C2         4.7¦ÌF          TopLayer    CAP_0603         1663.386      3648.937      270      "Cap 4.7¦ÌF 6.3V X5R 0603"               
C3         22nF           TopLayer    CAP_0603         1601.654      3648.937      90       "Cap 22nF 50V X5R 0603"                 
C4         10nF           TopLayer    CAP_0603         1971.654      2455.748      360      "Cap 10nF 50V X5R 0603"                 
C6         100nF          TopLayer    CAP_0603         1721.654      3045.748      360      "Cap 100nF 50V X5R 0603"                
C12        100nF          TopLayer    CAP_0603         2011.654      3355.748      270      "Cap 100nF 50V X5R 0603"                
C13        100nF          TopLayer    CAP_0603         2011.654      3480.748      270      "Cap 100nF 50V X5R 0603"                
C14        100nF          TopLayer    CAP_0603         2011.654      3221.890      90       "Cap 100nF 50V X5R 0603"                
C15        100nF          TopLayer    CAP_0603         1531.654      3485.748      90       "Cap 100nF 50V X5R 0603"                
C16        100nF          TopLayer    CAP_0603         1531.654      3221.890      90       "Cap 100nF 50V X5R 0603"                
D1         green          TopLayer    LED_GREEN_0603   2011.654      3915.748      90       "LED green 0603"                        
D2         blue           TopLayer    LED_BLUE_0603    1531.654      3915.748      90       "LED blue 0603"                         
F1         PTC_0805       TopLayer    RES_0805         1891.654      3665.811      270      "PTC 0.5A 0805 C20978"                  
J1         MicroUSB-B     TopLayer    MICRO-USB-B      1771.654      3880.236      270      "MicroUSB-B-SMT C10418"                 
J2         WJ124-3.81-3P  TopLayer    WJ124-3.81-3P    1851.654      2155.748      270      "WJ124-3.81-3P C36780"                  
J3         Header_2.54_3P TopLayer    HEADER-2.54-3P   1531.654      2165.748      360      "Header 2.54 3P"                        
J4         SWD            BottomLayer SWD-2.54-4P      1531.654      3240.748      180      "SWD 2.54 4P"                           
R1         10K            TopLayer    RES_0603         2011.654      3656.811      270      "Res SMD 10K 5% 1/10W 0603"             
R2         10K            TopLayer    RES_0603         1531.654      3656.811      270      "Res SMD 10K 5% 1/10W 0603"             
R3         10K            TopLayer    RES_0603         1711.653      3105.748      180      "Res SMD 10K 5% 1/10W 0603"             
R4         10R            TopLayer    RES_0603         1961.654      2345.748      360      "Res SMD 10R 5% 1/10W 0603"             
U1         RT9193-33GB    TopLayer    SOT23-5          1771.654      3660.748      180      "Chip RT9193-33GB LDO Regulator C15651" 
U3         STM32F072C8T6  TopLayer    STM-LQFP48_N     1771.654      3355.748      180      "Chip STM32F072C8T6 C80488"             
U4         PSM712-LF-T7   TopLayer    SOT-23(SOT-23-3) 2426.575      2395.748      90       TVS                                     
U2         ADM3053BRWZ    TopLayer    SOIC-20          2401.575      2725.748      270      "Chip ADM3053BRWZ"                      
R5         120R           TopLayer    RES_0603         2321.575      2395.748      90       "Res SMD 120R 5% 1/10W 0603"            
C11        10¦ÌF           TopLayer    CAP_0805         2211.575      2385.748      360      "Cap 10¦ÌF 25V X5R 0805"                 
C10        100nF          TopLayer    CAP_0603         2211.575      2455.748      360      "Cap 100nF 50V X5R 0603"                
C9         100nF          TopLayer    CAP_0603         2211.575      2995.748      360      "Cap 100nF 50V X5R 0603"                
C8         10¦ÌF           TopLayer    CAP_0805         2211.575      3065.748      360      "Cap 10¦ÌF 25V X5R 0805"                 
C7         10nF           TopLayer    CAP_0603         2351.575      2995.748      360      "Cap 10nF 50V X5R 0603"                 
C5         100nF          TopLayer    CAP_0603         2601.575      2405.748      360      "Cap 100nF 50V X5R 0603"                
